Date,SCCOOpen,SCCOHigh,SCCOLow,SCCOClose,SCCOAdj Close,SCCOVolume,PLMOpen,PLMHigh,PLMLow,PLMClose,PLMAdj Close,PLMVolume,COPXOpen,COPXHigh,COPXLow,COPXClose,COPXAdj Close,COPXVolume,^IXICOpen,^IXICHigh,^IXICLow,^IXICClose,^IXICAdj Close,^IXICVolume
2021-11-02,60.139999,60.540001,59.419998,60.18,55.577942,784900,3.29,3.3,3.19,3.22,3.22,52800,37.400002,37.400002,36.080002,36.549999,35.374107,624200,15583.980469,15656.599609,15569.269531,15649.599609,15649.599609,5129370000
2021-11-03,60.099998,60.18,58.5,59.110001,54.589771,1035400,3.21,3.38,3.19,3.34,3.34,73200,36.689999,36.75,35.779999,36.279999,35.112793,915100,15658.519531,15821.570313,15616.44043,15811.580078,15811.580078,5325110000
2021-11-04,59.34,59.610001,58.169998,58.93,54.423538,929300,3.34,3.34,3.22,3.32,3.32,51200,36.299999,36.540001,35.799999,36.09,34.928909,566400,15849.740234,15966.089844,15827.660156,15940.30957,15940.30957,5297250000
2021-11-05,59.0,59.549999,58.43,59.400002,54.857597,832400,3.26,3.32,3.16,3.27,3.27,106700,36.040001,36.139999,35.700001,36.09,34.928909,425700,16003.55957,16053.389648,15900.780273,15971.589844,15971.589844,5566400000
2021-11-08,60.52,62.490002,60.490002,61.799999,57.074062,1588800,3.23,3.27,3.08,3.08,3.08,191900,36.439999,37.169998,36.439999,37.110001,35.916092,882300,15995.719727,16038.230469,15961.80957,15982.360352,15982.360352,5723650000
2021-11-09,60.240002,61.200001,59.049999,59.82,56.154118,1229500,3.14,3.21,3.07,3.21,3.21,90600,37.09,37.110001,36.060001,36.43,35.257969,1712000,16024.129883,16035.209961,15836.679688,15886.540039,15886.540039,5574660000
2021-11-10,59.52,60.02,58.060001,58.209999,54.64278,791300,3.17,3.23,3.06,3.07,3.07,87200,36.41,36.41,35.349998,35.509998,34.367565,507900,15753.839844,15867.240234,15543.679688,15622.709961,15622.709961,5369110000
2021-11-11,59.700001,62.459999,59.650002,61.73,57.947071,1962700,3.12,3.15,3.06,3.11,3.11,77000,36.25,37.279999,36.240002,37.119999,35.92577,748100,15752.080078,15768.030273,15695.769531,15704.280273,15704.280273,4570460000
2021-11-12,61.360001,62.82,60.860001,62.459999,58.632336,976400,3.11,3.13,3.07,3.12,3.12,61200,37.360001,37.779999,37.18,37.759998,36.545181,584300,15752.620117,15874.570313,15705.379883,15860.959961,15860.959961,5446540000
2021-11-15,62.009998,62.16,60.73,60.790001,57.064674,814800,3.14,3.15,3.04,3.12,3.12,80400,37.52,37.52,36.540001,36.720001,35.538639,348200,15894.820313,15918.450195,15778.30957,15853.849609,15853.849609,5020180000
2021-11-16,60.779999,60.990002,59.880001,60.57,56.858158,769700,3.09,3.11,3.05,3.07,3.07,113100,36.73,36.73,36.169998,36.310001,35.14183,296500,15840.320313,15989.610352,15825.0,15973.860352,15973.860352,5533020000
2021-11-17,60.169998,60.91,58.98,59.43,55.788017,908200,3.06,3.23,3.06,3.2,3.2,136800,36.450001,36.549999,35.709999,35.93,34.774055,805500,15973.620117,15998.570313,15909.389648,15921.570313,15921.570313,5049320000
2021-11-18,59.02,60.139999,59.02,60.02,56.341866,892700,3.21,3.21,3.04,3.13,3.13,92600,36.220001,36.220001,35.509998,36.02,34.86116,346400,15973.389648,16010.879883,15848.830078,15993.709961,15993.709961,5391360000
2021-11-19,59.77,60.580002,59.650002,59.68,56.022701,645100,3.09,3.13,3.05,3.06,3.06,57400,36.110001,36.43,35.900002,36.0,34.841805,476800,16042.160156,16121.120117,16017.230469,16057.44043,16057.44043,4875310000
2021-11-22,58.470001,58.5,56.57,57.990002,54.436268,1528200,3.1,3.12,3.05,3.05,3.05,85900,36.0,36.529999,35.849998,36.169998,35.006332,673300,16120.919922,16212.230469,15851.040039,15854.759766,15854.759766,5567830000
2021-11-23,58.650002,59.91,58.59,59.23,55.600277,805600,3.05,3.1,3.01,3.1,3.1,87900,36.169998,36.73,36.119999,36.450001,35.277325,173000,15809.5,15895.860352,15601.459961,15775.139648,15775.139648,5434380000
2021-11-24,59.419998,60.049999,58.98,59.299999,55.665989,657900,3.09,3.15,3.06,3.1,3.1,71600,36.110001,36.450001,35.93,36.450001,35.277325,200800,15677.879883,15848.55957,15591.360352,15845.230469,15845.230469,4197090000
2021-11-26,57.240002,58.0,56.27,57.709999,54.17342,704100,3.04,3.04,2.9,2.95,2.95,108800,35.060001,35.060001,34.040001,34.790001,33.670734,835600,15664.379883,15731.540039,15456.089844,15491.660156,15491.660156,3502170000
2021-11-29,58.5,59.689999,57.759998,59.560001,55.910053,943600,3.02,3.07,2.95,2.96,2.96,78800,35.27,35.57,34.549999,35.52,34.377247,4756200,15719.419922,15833.110352,15644.610352,15782.830078,15782.830078,4836230000
2021-11-30,59.290001,59.599998,57.389999,58.5,54.915009,1491800,2.98,3.04,2.88,3.01,3.01,114600,35.52,36.049999,34.900002,35.509998,34.367565,1094400,15716.5,15828.200195,15451.389648,15537.69043,15537.69043,6631470000
2021-12-01,59.25,60.43,57.27,57.400002,53.88242,1365500,2.96,3.02,2.85,2.85,2.85,97000,36.200001,36.380001,35.0,35.02,33.893333,5042800,15752.269531,15816.820313,15243.929688,15254.049805,15254.049805,6320260000
2021-12-02,57.5,58.709999,57.400002,58.689999,55.093365,1116100,2.87,3.08,2.87,3.02,3.02,146400,35.189999,35.759998,34.93,35.580002,34.435318,793500,15181.820313,15444.540039,15150.120117,15381.320313,15381.320313,5418340000
2021-12-03,59.0,59.25,57.400002,58.18,54.614624,805400,3.0,3.04,2.87,2.87,2.87,115600,35.66,35.810001,34.779999,35.139999,34.009472,3086700,15428.709961,15470.360352,14931.05957,15085.469727,15085.469727,5900290000
2021-12-06,59.110001,59.360001,57.599998,58.77,55.168465,633700,2.96,3.0,2.87,2.96,2.96,48100,35.529999,35.990002,34.93,35.75,34.59985,504300,15117.629883,15281.990234,14931.610352,15225.150391,15225.150391,5115230000
2021-12-07,60.099998,60.93,59.630001,59.82,56.154118,881800,3.01,3.07,2.98,3.02,3.02,83800,36.299999,37.110001,36.299999,36.73,35.548317,310600,15510.910156,15720.089844,15507.660156,15686.919922,15686.919922,5116490000
2021-12-08,59.759998,60.869999,59.599998,60.310001,56.614094,533600,3.09,3.09,2.8,2.85,2.85,180000,37.049999,37.200001,36.759998,37.09,35.896736,961800,15690.650391,15792.639648,15618.879883,15786.990234,15786.990234,4615390000
2021-12-09,60.52,61.150002,59.450001,61.119999,57.374454,776900,2.85,2.86,2.77,2.78,2.78,127600,36.860001,36.91,36.369999,36.84,35.654781,464800,15720.540039,15796.049805,15511.120117,15517.370117,15517.370117,4515600000
2021-12-10,61.150002,61.5,60.279999,60.459999,56.754898,724100,2.79,2.81,2.75,2.75,2.75,75200,36.98,37.02,36.400002,36.549999,35.374107,219400,15629.589844,15677.599609,15477.849609,15630.599609,15630.599609,4426210000
2021-12-13,60.549999,60.799999,59.220001,59.540001,55.891281,1074600,2.76,2.81,2.72,2.74,2.74,80500,36.560001,36.830002,36.130001,36.529999,35.354752,5902300,15621.269531,15637.05957,15408.25,15413.280273,15413.280273,4573920000
2021-12-14,59.259998,60.59,59.09,59.32,55.684761,830500,2.71,2.76,2.71,2.71,2.71,56500,36.060001,36.669998,36.0,36.119999,34.957943,261800,15215.959961,15317.549805,15097.349609,15237.639648,15237.639648,4865990000
2021-12-15,58.619999,58.68,56.509998,57.099998,53.600807,1992600,2.7,2.78,2.64,2.71,2.71,131700,35.799999,35.830002,34.689999,35.700001,34.551456,592200,15230.709961,15575.759766,15055.230469,15565.580078,15565.580078,5343920000
2021-12-16,58.549999,59.369999,57.59,58.360001,54.783588,2718900,2.71,2.75,2.62,2.69,2.69,101800,36.32,36.66,35.900002,36.02,34.86116,607600,15629.080078,15633.19043,15119.490234,15180.429688,15180.429688,4906480000
2021-12-17,58.43,58.91,57.630001,58.380001,54.802364,1863600,2.7,2.7,2.65,2.67,2.67,166900,36.189999,36.189999,35.639999,35.77,34.619202,242500,15036.769531,15288.780273,14960.370117,15169.679688,15169.679688,7668770000
2021-12-20,57.18,57.580002,56.439999,57.419998,53.901192,925300,2.65,2.69,2.56,2.59,2.59,162700,35.259998,35.259998,34.450001,34.759998,33.641693,498600,14933.0,15007.299805,14860.040039,14980.94043,14980.94043,4602640000
2021-12-21,58.110001,59.360001,57.98,59.240002,55.609665,791900,2.65,3.0,2.62,2.97,2.97,282400,35.27,35.900002,35.130001,35.759998,34.60952,218600,15140.429688,15349.05957,15015.030273,15341.089844,15341.089844,4581720000
2021-12-22,58.98,59.400002,58.490002,59.360001,55.722309,652000,2.95,2.98,2.77,2.82,2.82,125500,35.759998,36.490002,35.529999,36.450001,35.277325,220200,15319.160156,15525.969727,15303.05957,15521.889648,15521.889648,4107900000
2021-12-23,59.040001,60.360001,58.970001,60.200001,56.51083,647600,2.87,2.89,2.79,2.84,2.84,129700,36.41,36.93,36.209999,36.779999,35.596706,248800,15544.790039,15697.980469,15528.910156,15653.370117,15653.370117,3935010000
2021-12-27,60.029999,61.34,59.970001,61.310001,57.552807,601600,2.84,2.84,2.75,2.79,2.79,120200,36.799999,37.139999,36.639999,37.07,35.87738,493600,15696.830078,15871.400391,15696.830078,15871.259766,15871.259766,3743920000
2021-12-28,60.950001,61.57,60.950001,61.060001,57.31813,431600,2.77,2.79,2.71,2.75,2.75,92500,37.040001,37.220001,36.650002,36.919998,35.732204,174100,15895.200195,15901.469727,15757.070313,15781.719727,15781.719727,3648500000
2021-12-29,60.82,61.48,60.349998,60.880001,57.149162,526500,2.75,2.79,2.62,2.66,2.66,118100,37.0,37.310001,36.900002,37.080002,35.887062,213100,15794.919922,15821.80957,15679.849609,15766.219727,15766.219727,3714380000
2021-12-30,61.25,62.16,61.18,61.23,57.477707,626300,2.65,2.7,2.56,2.59,2.59,214300,36.880001,37.07,36.619999,36.650002,35.843048,269100,15758.980469,15868.089844,15729.160156,15741.55957,15741.55957,3750920000
2021-12-31,61.139999,61.91,60.900002,61.709999,57.928295,455200,2.56,2.65,2.48,2.5,2.5,273600,36.669998,37.07,36.669998,36.91,36.097324,309800,15722.910156,15777.429688,15643.94043,15644.969727,15644.969727,3392580000
2022-01-03,61.52,61.880001,60.919998,61.41,57.646679,777900,2.53,2.73,2.5,2.73,2.73,101100,37.0,37.09,36.450001,36.77,35.960407,385300,15732.5,15832.799805,15644.089844,15832.799805,15832.799805,4429960000
2022-01-04,62.110001,63.220001,61.77,62.580002,58.744987,693500,2.73,2.76,2.69,2.7,2.7,91800,37.02,37.68,37.02,37.41,36.586315,614200,15852.139648,15852.139648,15512.410156,15622.719727,15622.719727,5131110000
2022-01-05,62.889999,64.169998,62.43,62.630001,58.79192,1052800,2.73,2.73,2.56,2.58,2.58,67500,37.439999,37.98,36.880001,36.91,36.097324,926400,15547.160156,15586.299805,15095.179688,15100.169922,15100.169922,5031850000
2022-01-06,62.59,63.009998,61.689999,62.549999,58.71682,1080200,2.65,2.66,2.54,2.57,2.57,65500,37.0,37.09,36.349998,36.709999,35.901726,489800,15024.150391,15198.450195,14914.870117,15080.860352,15080.860352,4790820000
2022-01-07,63.509998,64.440002,62.599998,64.349998,60.406509,771700,2.59,2.71,2.53,2.66,2.66,69100,36.880001,37.619999,36.830002,37.560001,36.733013,320700,15095.719727,15171.019531,14877.629883,14935.900391,14935.900391,4238070000
2022-01-10,64.349998,64.849998,62.830002,63.860001,59.946537,898500,2.66,2.69,2.59,2.66,2.66,63600,37.41,37.48,36.889999,37.48,36.654774,407700,14751.780273,14953.849609,14530.230469,14942.830078,14942.830078,5317180000
2022-01-11,63.919998,66.099998,63.599998,66.010002,61.96479,1172400,2.69,2.81,2.63,2.78,2.78,119200,37.599998,38.639999,37.419998,38.529999,37.681652,713700,14919.259766,15158.709961,14837.629883,15153.450195,15153.450195,4390710000
2022-01-12,68.25,69.529999,68.07,69.209999,64.968689,2301800,2.79,2.79,2.51,2.51,2.51,337500,39.32,40.650002,39.32,40.610001,39.715858,1077100,15263.099609,15319.030273,15117.290039,15188.389648,15188.389648,4338530000
2022-01-13,68.93,69.849998,67.779999,67.970001,63.804665,1386700,2.68,2.68,2.49,2.53,2.53,223300,40.32,40.84,40.080002,40.130001,39.246429,541000,15245.040039,15259.709961,14782.240234,14806.80957,14806.80957,4302020000
2022-01-14,67.029999,68.25,66.620003,67.800003,63.645088,853600,2.51,2.59,2.49,2.59,2.59,58500,39.689999,39.93,38.900002,39.720001,38.845455,381900,14708.019531,14897.679688,14689.429688,14893.75,14893.75,4374020000
2022-01-18,67.889999,69.82,67.790001,68.550003,64.349129,1334400,2.63,2.63,2.46,2.46,2.46,95700,39.630001,40.509998,39.610001,40.049999,39.168186,380400,14681.830078,14740.540039,14482.94043,14506.900391,14506.900391,5060790000
2022-01-19,69.5,70.449997,68.309998,68.400002,64.208328,1332100,2.56,2.59,2.5,2.53,2.53,70100,40.860001,41.23,40.599998,40.790001,39.891895,488800,14582.219727,14658.889648,14331.650391,14340.259766,14340.259766,4665340000
2022-01-20,68.900002,69.980003,67.510002,68.010002,63.84222,1357400,2.56,2.61,2.5,2.5,2.5,82400,41.200001,41.389999,40.43,40.450001,39.559383,616400,14462.849609,14642.030273,14140.780273,14154.019531,14154.019531,5102050000
2022-01-21,67.089996,67.470001,65.610001,66.260002,62.199463,1396800,2.5,2.59,2.48,2.48,2.48,141000,40.34,40.439999,39.130001,39.169998,38.307564,723000,14046.219727,14171.719727,13764.240234,13768.919922,13768.919922,5870830000
2022-01-24,64.0,64.830002,62.5,64.82,60.84771,1464100,2.45,2.73,2.45,2.71,2.71,290700,37.790001,38.27,36.799999,38.23,37.38826,1035400,13481.5,13876.610352,13094.650391,13855.129883,13855.129883,6998770000
2022-01-25,64.0,64.959999,62.110001,64.639999,60.678738,1259300,2.61,2.84,2.61,2.83,2.83,141600,38.0,38.599998,37.389999,38.330002,37.486061,414700,13610.870117,13781.620117,13414.139648,13539.290039,13539.290039,5019380000
2022-01-26,65.919998,66.870003,64.010002,64.610001,60.650578,1395800,2.85,2.86,2.61,2.68,2.68,117900,39.060001,39.290001,37.84,38.23,37.38826,307900,13871.769531,14002.650391,13392.19043,13542.120117,13542.120117,5771140000
2022-01-27,65.540001,66.150002,63.310001,63.970001,60.049797,997900,2.62,2.63,2.42,2.5,2.5,143000,38.220001,38.66,37.560001,37.709999,36.879707,397800,13710.990234,13765.910156,13322.660156,13352.780273,13352.780273,5177380000
2022-01-28,63.299999,63.299999,61.299999,62.57,58.735592,1096400,2.54,2.54,2.41,2.47,2.47,109300,37.380001,37.380001,36.290001,36.959999,36.146221,354700,13436.709961,13771.910156,13236.55957,13770.570313,13770.570313,4971930000
2022-01-31,62.09,63.889999,62.0,63.889999,59.974701,859600,2.5,2.55,2.47,2.55,2.55,80500,37.009998,37.439999,36.669998,37.41,36.586315,206900,13812.19043,14242.900391,13767.709961,14239.879883,14239.879883,5124940000
2022-02-01,64.889999,65.43,63.950001,65.160004,61.166874,933100,2.54,2.67,2.48,2.65,2.65,142900,37.939999,38.27,37.41,38.130001,37.290462,4234500,14277.429688,14358.69043,14070.769531,14346.0,14346.0,4671850000
2022-02-02,65.400002,65.400002,63.380001,64.029999,60.106121,1325400,2.66,2.71,2.53,2.64,2.64,142200,38.68,38.700001,38.02,38.439999,37.593636,254700,14494.469727,14504.820313,14264.650391,14417.549805,14417.549805,4673140000
2022-02-03,63.990002,64.019997,62.669998,63.18,59.308212,1020300,2.64,2.64,2.49,2.5,2.5,72600,38.0,38.41,37.91,38.02,37.182884,119900,14045.830078,14207.889648,13851.740234,13878.820313,13878.820313,4326300000
2022-02-04,62.330002,63.540001,61.799999,63.209999,59.336372,989100,2.55,2.6,2.5,2.56,2.56,74900,37.720001,38.490002,37.639999,38.27,37.42738,150300,13958.480469,14222.759766,13850.389648,14098.009766,14098.009766,4121340000
2022-02-07,63.599998,64.059998,62.68,63.669998,59.768181,889400,2.58,2.64,2.51,2.62,2.62,52300,38.41,38.939999,38.360001,38.720001,37.867474,956100,14118.790039,14236.30957,13974.099609,14015.669922,14015.669922,4268730000
2022-02-08,64.239998,65.739998,63.91,65.620003,61.598686,1072800,2.6,2.7,2.59,2.65,2.65,53100,38.860001,39.689999,38.639999,39.610001,38.737877,683600,13984.429688,14226.480469,13934.780273,14194.450195,14194.450195,4293770000
2022-02-09,66.540001,67.989998,65.739998,67.82,63.66386,1300600,2.66,2.67,2.52,2.54,2.54,110000,39.98,41.16,39.939999,40.990002,40.087494,765200,14368.160156,14490.719727,14330.870117,14490.370117,14490.370117,4729730000
2022-02-10,67.669998,69.309998,66.849998,67.199997,63.081852,1451500,2.51,2.61,2.51,2.54,2.54,55700,40.990002,42.130001,40.919998,41.200001,40.29287,660900,14228.679688,14509.55957,14118.200195,14185.639648,14185.639648,5212510000
2022-02-11,66.300003,68.260002,65.790001,67.169998,63.053696,1647700,2.53,2.57,2.48,2.51,2.51,63500,41.09,41.599998,40.419998,40.779999,39.882114,617200,14213.620117,14246.700195,13733.160156,13791.150391,13791.150391,5237320000
2022-02-14,66.239998,66.769997,64.559998,66.309998,63.187099,1177000,2.5,2.57,2.48,2.53,2.53,59100,41.0,41.279999,40.490002,41.049999,40.146168,416000,13768.969727,13921.709961,13664.759766,13790.919922,13790.919922,4347350000
2022-02-15,65.720001,67.360001,65.440002,67.330002,64.159065,998300,2.55,2.65,2.55,2.65,2.65,73100,41.369999,41.5,40.810001,41.23,40.322208,311300,13997.179688,14142.490234,13976.290039,14139.759766,14139.759766,4416840000
2022-02-16,67.790001,68.730003,67.529999,68.629997,65.397835,934900,2.65,2.69,2.59,2.63,2.63,50200,41.200001,41.740002,41.169998,41.610001,40.69384,372300,14038.919922,14163.730469,13931.990234,14124.089844,14124.089844,4238560000
2022-02-17,68.209999,68.379997,66.860001,67.269997,64.101883,975500,2.68,2.68,2.54,2.54,2.54,47600,41.459999,41.48,40.799999,41.049999,40.146168,204100,14004.19043,14020.820313,13704.700195,13716.719727,13716.719727,4278370000
2022-02-18,68.019997,68.470001,66.769997,67.589996,64.406822,863400,2.52,2.59,2.51,2.52,2.52,56500,41.200001,41.490002,40.73,40.860001,39.960354,830600,13735.400391,13762.400391,13465.55957,13548.070313,13548.070313,4501940000
2022-02-22,67.809998,68.389999,66.339996,66.900002,63.749321,911000,2.52,2.59,2.47,2.48,2.48,145700,40.939999,41.310001,40.290001,40.810001,39.911457,1565100,13424.360352,13618.719727,13249.650391,13381.519531,13381.519531,4849170000
2022-02-23,67.239998,67.580002,66.050003,66.25,63.129929,925600,2.49,2.55,2.48,2.48,2.48,66900,41.009998,41.18,40.470001,40.549999,39.657177,361500,13511.75,13533.780273,13032.169922,13037.490234,13037.490234,4639330000
2022-02-24,64.279999,66.190002,64.209999,66.050003,62.939354,1164400,2.47,2.56,2.47,2.56,2.56,82500,39.82,40.330002,39.119999,40.240002,39.354008,466200,12587.879883,13486.110352,12587.879883,13473.589844,13473.589844,6180200000
2022-02-25,66.389999,68.800003,66.379997,68.790001,65.550308,949400,2.57,2.65,2.57,2.65,2.65,60200,40.450001,42.0,40.450001,41.889999,40.967674,703100,13485.259766,13696.860352,13358.290039,13694.620117,13694.620117,4628720000
2022-02-28,68.129997,69.940002,67.93,69.389999,66.122047,1386500,2.66,2.76,2.63,2.72,2.72,187300,41.84,42.639999,41.52,42.599998,41.662041,925700,13570.830078,13810.639648,13549.900391,13751.400391,13751.400391,5928130000
2022-03-01,70.209999,73.230003,70.080002,71.830002,68.447136,1871100,2.74,2.78,2.61,2.61,2.61,134900,42.73,43.349998,42.18,42.610001,41.671822,725800,13716.700195,13777.040039,13441.320313,13532.459961,13532.459961,6131350000
2022-03-02,72.370003,73.370003,71.190002,72.910004,69.476273,1361600,2.61,2.61,2.51,2.61,2.61,96700,43.599998,44.029999,42.919998,43.860001,42.894302,626100,13597.530273,13796.549805,13493.910156,13752.019531,13752.019531,5246390000
2022-03-03,73.849998,75.57,73.209999,75.230003,71.687012,1320400,2.61,2.64,2.55,2.55,2.55,43200,44.5,44.950001,44.049999,44.880001,43.891842,1167200,13837.589844,13837.589844,13472.639648,13537.94043,13537.94043,5092580000
2022-03-04,75.370003,76.620003,73.839996,76.599998,72.992485,1227700,2.56,2.68,2.56,2.62,2.62,104200,44.610001,44.68,43.68,44.5,43.52021,664600,13455.230469,13486.709961,13224.980469,13313.44043,13313.44043,5343900000
2022-03-07,76.230003,76.510002,73.449997,74.279999,70.781754,1395600,2.65,3.14,2.65,2.86,2.86,1287700,44.43,44.689999,42.970001,43.119999,42.170593,2201000,13328.360352,13353.280273,12828.019531,12830.959961,12830.959961,6195370000
2022-03-08,73.110001,76.360001,73.110001,74.830002,71.305847,1539000,4.0,4.79,3.33,3.99,3.99,18062500,43.0,43.32,42.200001,42.610001,41.671822,4700700,12800.040039,13159.44043,12670.080078,12795.549805,12795.549805,6683960000
2022-03-09,73.459999,76.0,72.470001,74.870003,71.343964,1822200,3.44,3.85,3.33,3.76,3.76,2061200,42.93,42.98,42.0,42.869999,41.926098,527000,13113.700195,13301.160156,13039.790039,13255.549805,13255.549805,5396550000
2022-03-10,75.5,76.779999,74.660004,75.300003,71.753716,1748800,3.8,3.8,3.22,3.6,3.6,1500200,43.25,43.830002,43.139999,43.810001,42.845402,613600,13098.349609,13163.5,12946.280273,13129.959961,13129.959961,5071250000
2022-03-11,74.559998,75.610001,73.910004,74.07,70.581642,1308600,3.71,3.95,3.46,3.61,3.61,2098300,43.490002,43.599998,42.779999,42.919998,41.974995,436500,13229.769531,13239.349609,12830.370117,12843.80957,12843.80957,5288210000
2022-03-14,72.93,72.940002,69.040001,69.529999,66.255447,1555800,3.54,3.63,3.25,3.62,3.62,837300,42.299999,42.389999,40.799999,41.040001,40.136391,669500,12795.120117,12918.009766,12555.349609,12581.219727,12581.219727,5876710000
2022-03-15,68.0,68.75,67.300003,68.419998,65.197731,1365500,3.58,3.62,3.37,3.5,3.5,344400,39.900002,40.389999,39.599998,40.389999,39.500702,615200,12685.230469,12973.879883,12616.589844,12948.620117,12948.620117,5440100000
2022-03-16,69.360001,70.5,68.669998,70.470001,67.151184,915500,3.43,3.63,3.21,3.3,3.3,660400,41.27,42.360001,41.169998,42.34,41.407768,873400,13119.370117,13440.120117,12992.200195,13436.549805,13436.549805,6552210000
2022-03-17,71.0,73.410004,70.809998,73.080002,69.638268,1119700,3.3,3.48,3.15,3.29,3.29,439700,42.459999,43.380001,42.34,43.32,42.366188,342900,13360.719727,13620.799805,13317.139648,13614.780273,13614.780273,5612090000
2022-03-18,72.550003,74.349998,72.099998,74.309998,70.810341,1833000,3.21,3.35,3.12,3.29,3.29,411000,43.32,44.130001,43.139999,43.91,42.943199,924700,13564.629883,13899.280273,13528.05957,13893.839844,13893.839844,8149290000
